"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2","fontBodySmall","fontBodySmall 2","kyuRq"
"https://lh3.googleusercontent.com/a-/ALV-UjV4mBAHSaWYMvOgqMBoDEGnuQwqUfSFqVwrUdW060Sb3iszV2k0=w72-h72-p-rp-mo-ba3-br100","LUKAS Channel","Local Guide · 52 reviews · 2 photos","","","5 years ago","awesome","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXZi5ZNYBQjdqeSYJVRZ2xfGXZAv5BrklVi5KHSo5HPxar8ZDk=w72-h72-p-rp-mo-br100","Jesicha Michelle","6 reviews · 2 photos","","","5 years ago","Cool","","","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjU_zqH-I108lqQRINUk82cI3E3GccSF6RDmDLBh88WGSiNOLOBoyA=w72-h72-p-rp-mo-ba5-br100","Theodorus Olwyn","Local Guide · 444 reviews · 10 photos","","","5 years ago","Good","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWLWyaMw-KiJYTlJI7YCmGEU2xiMf73kh0Vqu7j-_71AnBy80U=w72-h72-p-rp-mo-ba5-br100","Erni atr","Local Guide · 343 reviews · 981 photos","","","5 years ago","Wide","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWMUP0S8I3pX084HWeJyS0eBM3RM6vhBIksjPRmkyOcMrtZQo0=w72-h72-p-rp-mo-ba3-br100","DIDOET BM","Local Guide · 30 reviews · 19 photos","","","3 days ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUiEZ5HcnnrRp9b-6Z7hLBK4j2t6Z2cItZmFCJr0EMrzFcGJRPU=w72-h72-p-rp-mo-ba4-br100","William Marcellino C","Local Guide · 14 reviews · 50 photos","","","9 months ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU0b1MWzmo2lqpcbDKAmEax-oZZee5scynLxJFjxW-0SIHBKvsZ=w72-h72-p-rp-mo-br100","Agus Ceprot","4 reviews · 6 photos","","","a year ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUrdpSy0x5VUAR5EilfaxlEO5v9ZTLwTPMdgXDxzfvRWkSxjcQ=w72-h72-p-rp-mo-ba3-br100","setyo nugroho","Local Guide · 27 reviews · 48 photos","","","a year ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW8d5OLftm1sTtbhKrFJ_ztg8VG0OWwqVxb8Z70rT-V2JjFaBWQ=w72-h72-p-rp-mo-br100","y sp","6 reviews · 7 photos","","","a year ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUMlW4g6lkD2Jpd-WM0asxA1M842bZddmOWOIvrGVJlS5U78HVMcA=w72-h72-p-rp-mo-ba3-br100","susi sulistyo","Local Guide · 2 reviews · 3 photos","","","a year ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKsZjny6GTterXX2J7IUuUcmgTXo6gKn9GsFpfEXOXB6cNVMA=w72-h72-p-rp-mo-br100","Tomi Leon","3 reviews · 2 photos","","","a year ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVA1sr3RlKVB47uqijkqSf0yfF9KNtHBlrUwYJiwGwqwbNpEgNE9Q=w72-h72-p-rp-mo-br100","Angelika Lovelyn Susanto","6 reviews","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXI1LI6VprBs7WDPdjxInN_cUMppW6tVwjAhgTIwn4AH__-Jb_q=w72-h72-p-rp-mo-ba3-br100","eka dobby","Local Guide · 46 reviews · 7 photos","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJxnYJiaJlzQ97oaVO_UajlFqgCQ7YtnNV8goOLyNsEuLvjKw=w72-h72-p-rp-mo-br100","Deny Eko Wibowo","","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV113zKa471huRv-3j8VFIu_S2ZcYrlcCZxLoySrXR18Vhbt7s=w72-h72-p-rp-mo-ba4-br100","Budi Santosa","Local Guide · 81 reviews · 115 photos","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX01y_jLHeY6Fp56D3WKBOE0SorgJqlDQsm5l3KeHHuUaNYfdTZ=w72-h72-p-rp-mo-br100","Agoes Susilo","","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUGG-lhKqHKa2KaRtZU0Y3QnGLN3qb8Dm4jiHvA5cJ9rjfhzap5=w72-h72-p-rp-mo-br100","Esti Purnamasari","15 reviews · 2 photos","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWjmKAZr0ZBl_0RIDT0op79FVpzcIFeD-9Ao1oIPfouOZ39lwSU=w72-h72-p-rp-mo-br100","Joko Purwanto","5 reviews · 7 photos","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLl7whYCJpXKClFG1U55BQ6YGqpTyShZKgdckNrssGgARhclA=w72-h72-p-rp-mo-br100","Rio Stefanus","1 review · 2 photos","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocK5M3V5z03nTjOo0ERYYeNkLzxg3_r329Y2sKAnXOScek6CLBgZ=w72-h72-p-rp-mo-ba2-br100","。 roland","Local Guide · 9 reviews · 15 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVWY05G2lkmNq6ZJPhPh7ROimGNn-ccjtGoMHtxtvyt3_lUMnox=w72-h72-p-rp-mo-br100","Dinda Risti Ardhyana","","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXpg7Ph8J1oNkcxd8kdnIDSwzkBxPEW5gdHI-yIuD_Y2NZ7oWhD=w72-h72-p-rp-mo-ba3-br100","Nirmala Santi Gunawan","Local Guide · 7 reviews · 32 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVulSzwtUpNOPYT8fdnuY3xGqGTuv4eRULvTLsE3Y6s_oE3Dkzb=w72-h72-p-rp-mo-br100","Francisca Aji","","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocI5OB_p185EwjhVBG8e-87rcz0g3KFTuDwUJBpbmFU9HZUEKg=w72-h72-p-rp-mo-ba4-br100","Jeannofike Amazia (Jeno)","Local Guide · 6 reviews · 8 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX1Wvq_SM711tuCpIvrdYdbalobzF2-T0Mse42kbaBbk7fYQ2u5=w72-h72-p-rp-mo-br100","hanya bawang biasa","2 reviews · 9 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX2dePZsX_ufuYGi6txHkdtyFCb4s8XwwEIVailnJdq52zIHGtz=w72-h72-p-rp-mo-ba4-br100","Clara Ivana Kumalawati","Local Guide · 41 reviews · 227 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocI7Ldq2gvnM3BVeTXwvqFpETc-eRzCSxJYUzsvr3HGthT67_A=w72-h72-p-rp-mo-br100","Kevin Yefta","1 review","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXTWvWkA6z6Awn30OAGJUXo5pCxqiYRr1AjH5aZypkwoEAR9TcB=w72-h72-p-rp-mo-ba3-br100","Wisnu Ardhiyanto","Local Guide · 11 reviews · 7 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIh3OmAV14o6EtyaV1w-l46CHpVc0Tb3Ne52o9VNhCmOvvAV3k=w72-h72-p-rp-mo-ba3-br100","Falih Yutama","Local Guide · 3 reviews","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVT5GWUbxiPuMgJ8R61HOWU5ZG8SFxUe93-rJxnYOE4g3bgWg0m=w72-h72-p-rp-mo-br100","Tatag Pambudi","3 reviews · 23 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUY8w2Bj45rzzlh4hiU1XaGTJ880lC3spKcA-apX4JzZNlWIVVN=w72-h72-p-rp-mo-br100","Farrel Harimurti","3 reviews","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUMcvY6KUfGi44SV5mltlROd3LUpMzSzgjWbP2q8N-K6vzjcqBQ=w72-h72-p-rp-mo-ba2-br100","Sarah Florentina","Local Guide · 1 review","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXqohCZjqsTdmLlsQ5feXVgUaGXT3xYmv_PSMPJ604xQj56cAQg=w72-h72-p-rp-mo-ba4-br100","Ita Novitasari","Local Guide · 17 reviews · 46 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUdhqGD0Gcg0gt0j1cdxl2HwfGm9xwgQ5rHSM2_HUpQy2ZzhTAmcw=w72-h72-p-rp-mo-ba3-br100","Yvonne raharjo","Local Guide · 5 reviews · 127 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUWQelgmlqZhcgHwdOknoNOuYBD6n2G0Slsx59WVZ3ciNN6jL8R=w72-h72-p-rp-mo-br100","Bagus Oxtavianto","3 reviews · 7 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXI94cX5nrs7iIbh9nS0ZKAqR6sVQa1Zm-HLUxdeOFu6WjmAkU0Ag=w72-h72-p-rp-mo-br100","Ananda Yulia","2 reviews · 5 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWzApJG6EVBytEbP44KMWoe11vFVD9ii-gSRs5ju03CO5c5YSh7pw=w72-h72-p-rp-mo-br100","Aufa Nakhra","","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLyse20puiHyRk5hWiuSZQMg-0YdYV8oLolH-M4WqO3zM1R4g=w72-h72-p-rp-mo-br100","Dimas Putra","","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWHXda8YpS_3W8DtgyA0U7sZ-BuYYMTmv-cERCFxp6yHwP-3oGz=w72-h72-p-rp-mo-br100","Muhammad Sulistyo","1 photo","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV_tZ6mq66YYVGyThJVo_qlf3yPgfNPMNu3XONJvvrH9kWtOLUEfw=w72-h72-p-rp-mo-br100","fendra hardi","4 reviews · 6 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXaza4pCS_oaeEKmDg8yRZiuvuBxlao6Gvy1sMhf6-f6626cghBIw=w72-h72-p-rp-mo-br100","sebastiana vena","1 review","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocID_rjSGqfI_fCFsY9guBdUlrluXck3wx0sKXIRMU2V6IPO-A=w72-h72-p-rp-mo-br100","Yohanes Kambana","","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLRKHkuFHdSGkq4cF1bYCmtC7mVie3_tSKs3nWZeZOqvipG_Q=w72-h72-p-rp-mo-br100","Bintang Firmansyah","2 reviews","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVAhrdrhRQ7bBXQfMvByqyF6i1xT9-bF6jRt9EkH9v9MFPqYKbj=w72-h72-p-rp-mo-br100","kevin tandayu","","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX4eDhOvhFr01SS9YtAfN0Zbw9OPcm0tHX9d4wBwlUwYL44Lyy5=w72-h72-p-rp-mo-ba2-br100","bayu hersa wicaksana","Local Guide · 17 reviews","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVberIU4wZaUWgW6RQ5YMXTba2Hn2jl9KdIFBSXDDmZd8PSpToz=w72-h72-p-rp-mo-ba4-br100","Reinhard Komansilan","Local Guide · 26 reviews · 26 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIBGP4qY0VWwfu3K4sTHulrRncl_NcK5R_Jh0nh3KHL5X8t=w72-h72-p-rp-mo-br100","Nusha Pratama","","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUezhYcB5U_7xlMIqaEOhjVR0T-WEwNp1nTuFoVK3g5uhPd-KoD=w72-h72-p-rp-mo-br100","Fikri Zami","2 reviews · 3 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXFmCtw_QNnIgZwwZDLYZ8SSWeiOy62TFN1jEP4F814-dMQfX-1=w72-h72-p-rp-mo-ba2-br100","Daniel Zafnat Paaneah","Local Guide · 3 reviews · 21 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWcHgL9yvuxE5_s7L4y_w1E7Q66FOv46BA151YVmpkikMTf8-zV=w72-h72-p-rp-mo-br100","Theodore David","1 review · 2 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocISShZYLGCHl0ket1K-Ugr44Glx0eN__M2KVhifA2pVhlOeCQ=w72-h72-p-rp-mo-br100","Adna Febri","","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVL3Ja4eHrnCyM8T_cx5Coelc4jOT3tQXaP67jIqGEvdl79xtme=w72-h72-p-rp-mo-br100","Yohanes Dandyanto Rahardjo","6 reviews","","","6 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWig8LSBwZaGBFY5cG-7RhhELHIxjJsL-Y6g7jtQL8L7AC8OzoS=w72-h72-p-rp-mo-br100","Genshin Mamat","10 reviews","","","6 years ago","","","","","","","",""
